asset_id,source_file,file_format,unity_size_m_w_d_h,origin_and_front,collider_status,reuse_status,issues
building_house_1f,Assets/_Project/Art/Buildings/building_house_1f.fbx,FBX,"8.7800 x 8.8300 x 5.4400","Blender bounds bottom Z=0; door/front at Blender -Y, expected Unity +Z","No automatic collider (ModelImporter addColliders=0); current scene uses separate box collider","Reusable as imported FBX/model-prefab source; multiple Game scene instances","No authored building prefab wrapper; roof color is baked/asset-defined rather than a documented material variant"
building_house_1f_with_interior,Assets/_Project/Art/Buildings/building_house_1f_with_interior.fbx,FBX,"8.3964 x 8.8300 x 4.4300","Blender bounds bottom Z=0; door/front at Blender -Y, expected Unity +Z","No automatic collider; current scene uses separate box collider","Reusable model source; existing scene uses it for several house anchors","Not a 2-storey substitute; interior mesh increases visual/detail cost"
building_house_2f,MISSING,N/A,N/A,N/A,N/A,Not reusable,"Core final-art gap: reference contains five 2-storey houses. Map-shape fallback is an unscaled building_house_1f_with_interior instance; do not scale or modify it to fake a 2F asset"
building_supermarket,Assets/_Project/Art/Buildings/building_supermarket.fbx,FBX,"10.6577 x 8.4400 x 5.0000","Blender bounds bottom Z=0; front doors at Blender -Y, expected Unity +Z","No automatic collider; existing scene uses separate box collider","Reusable imported model source","No standalone roof-color variant or authored prefab wrapper"
building_bookstore,Assets/_Project/Art/Buildings/building_bookstore.fbx,FBX,"11.5400 x 8.7077 x 5.9600","Blender bounds bottom Z=0; front door at Blender -Y, expected Unity +Z","No automatic collider; existing scene uses separate box collider","Reusable imported model source","No standalone roof-color variant or authored prefab wrapper"
building_police_station,Assets/_Project/Art/Buildings/building_police_station.fbx,FBX,"11.1075 x 8.9418 x 8.0000","Blender bounds bottom Z=0; front doors at Blender -Y, expected Unity +Z","No automatic collider; existing scene uses separate box collider","Reusable imported model source","No standalone roof-color variant or authored prefab wrapper"
ladder,Assets/_Project/Art/Props/object_ladder.fbx,FBX,"0.8800 x 0.1600 x 2.8000","Blender bounds bottom Z=0; long axis Blender +Z/Unity +Y","No automatic collider; current map couples visual with LadderTraversal trigger/endpoints","Reusable imported model source","Does not by itself satisfy gameplay traversal; requires `LadderTraversal`, trigger, bottom/top transforms"
trash_can,Assets/_Project/Art/Props/object_trash_can.fbx,FBX,"0.8800 x 0.7800 x 1.2775","Geometry begins near Blender Z=0.0025; upright axis Blender +Z/Unity +Y","No automatic collider; current map supplies separate collider","Reusable imported model source","Raccoon-spawn relation is scene data, not included in FBX"
bench,MISSING,N/A,N/A,N/A,N/A,Not reusable,"Reference uses benches as hiding props; no independent candidate file found"
bush,MISSING_AS_STANDALONE,N/A,N/A,N/A,N/A,Not reusable,"Shrubs exist embedded in some building FBXs but no standalone reusable bush asset was found"
tree,MISSING,N/A,N/A,N/A,N/A,Not reusable,"No independent tree model found"
fence,MISSING,N/A,N/A,N/A,N/A,Not reusable,"No independent fence model found"
street_lamp,MISSING_AS_STANDALONE,N/A,N/A,N/A,N/A,Not reusable,"Some building FBXs include decorative lamp geometry but no standalone street-lamp asset was found"
fountain,MISSING,N/A,N/A,N/A,N/A,Not reusable,"Current plaza fountain is scene greybox geometry, not a reusable model asset"
road_or_sidewalk_module,MISSING_AS_MODEL,N/A,N/A,N/A,N/A,Not reusable,"Only greybox road materials exist: Assets/_Project/Materials/Greybox/Road.mat; no mesh module asset found"
